2026-06-22 03:04:47 | INFO     | rsi_divergence | Exported 25 trade(s) to C:\RSI_Divergence_System\exports\trades_20260621_213437.csv
2026-06-22 03:04:47 | INFO     | rsi_divergence | Telegram notifications disabled in settings.json -- skipping send.
2026-06-22 03:21:42 | INFO     | rsi_divergence | Database ready at C:\RSI_Divergence_System\database\trades.db
2026-06-22 03:21:43 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:21:43 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:21:43 | INFO     | rsi_divergence | Backtest complete: 3 trade(s) simulated, final balance 107078.40 (started 100000.00).
2026-06-22 03:21:43 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 trade(s) journaled (0 still open at data end).
2026-06-22 03:21:43 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:21:43 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:21:43 | INFO     | rsi_divergence | Report written to C:\RSI_Divergence_System\reports\daily_report_20260621_215142.txt
2026-06-22 03:21:43 | INFO     | rsi_divergence | Exported 3 trade(s) to C:\RSI_Divergence_System\exports\trades_20260621_215142.csv
2026-06-22 03:21:43 | INFO     | rsi_divergence | Telegram notifications disabled in settings.json -- skipping send.
2026-06-22 03:25:33 | INFO     | rsi_divergence | Database ready at C:\RSI_Divergence_System\database\trades.db
2026-06-22 03:25:33 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:25:33 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:25:33 | INFO     | rsi_divergence | Backtest complete: 3 trade(s) simulated, final balance 107078.40 (started 100000.00).
2026-06-22 03:25:33 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 trade(s) journaled (0 still open at data end).
2026-06-22 03:25:33 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:25:33 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:25:33 | INFO     | rsi_divergence | Report written to C:\RSI_Divergence_System\reports\daily_report_20260621_215533.txt
2026-06-22 03:25:33 | INFO     | rsi_divergence | Exported 3 trade(s) to C:\RSI_Divergence_System\exports\trades_20260621_215533.csv
2026-06-22 03:25:48 | ERROR    | rsi_divergence | Telegram send failed: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8976562485:AAFolQnEXVqVcT_zuOFKIKETevMK3rtPZRs/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x22368ec9a90>, 'Connection to api.telegram.org timed out. (connect timeout=15)'))
2026-06-22 03:26:55 | INFO     | rsi_divergence | Database ready at C:\RSI_Divergence_System\database\trades.db
2026-06-22 03:26:56 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:26:56 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:26:56 | INFO     | rsi_divergence | Backtest complete: 3 trade(s) simulated, final balance 107078.40 (started 100000.00).
2026-06-22 03:26:56 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 trade(s) journaled (0 still open at data end).
2026-06-22 03:26:56 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:26:56 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
2026-06-22 03:26:56 | INFO     | rsi_divergence | Report written to C:\RSI_Divergence_System\reports\daily_report_20260621_215655.txt
2026-06-22 03:26:56 | INFO     | rsi_divergence | Exported 3 trade(s) to C:\RSI_Divergence_System\exports\trades_20260621_215655.csv
2026-06-22 03:27:11 | ERROR    | rsi_divergence | Telegram send failed: HTTPSConnectionPool(host='api.telegram.org', port=443): Max retries exceeded with url: /bot8976562485:AAFolQnEXVqVcT_zuOFKIKETevMK3rtPZRs/sendMessage (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.telegram.org', port=443) at 0x21a431f9a90>, 'Connection to api.telegram.org timed out. (connect timeout=15)'))
2026-06-22 03:29:20 | INFO     | rsi_divergence | Database ready at C:\RSI_Divergence_System\database\trades.db
2026-06-22 03:29:20 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 raw divergence event(s) detected.
2026-06-22 03:29:20 | INFO     | rsi_divergence | [SAMPLE_BTCUSDT] 3 confirmed trade signal(s) after confirmation filter.
